,SentenceNo,SequenceNo,Speaker,Text,Score,wc
685,685,367,FIORINA,"Look, every time the Federal Government gets engaged in something it gets worse. And then the Government steps in to try and solve the problem and we get a little further down to that progressive vision that Hillary Clinton is talking about.",1,42
686,686,367,FIORINA,"Companies should, if they want to attract the best workers, provide a good set of benefits. But honestly, if you're a small business owner today you are being crushed. We have 400,000 small businesses forming every year in this country. How great is that? They are employing themselves, they are potentially employing others.",3,53
687,687,367,FIORINA,"The bad news is, we have 470,000 going out of business every year. And why? They cite Obamacare.",1,18
688,688,367,FIORINA,They are refusing to...,2,4
690,690,369,FIORINA,"I think it's a wonderful that that businesses start a 401(k). The point I'm making is this, the Federal Government should not be in a lot of things.",1,28
691,691,369,FIORINA,There is no Constitutional role for the Federal Government in setting up -- retirement plans. There is no Constitutional role for the Federal Government to be setting minimum wages...,1,29
693,693,371,FIORINA,"... The more the Government gets engaged in the economy, the slower the economy becomes. The more the Government gets engaged in the economy, it is demonstrably true...",1,28
695,695,373,FIORINA,"... The more the big, the powerful, the wealthy and the well-connected are advantaged.",3,14
707,707,376,BUSH,We don't need the federal government to be involved in this at all.,1,13
709,709,378,BUSH,"We don't need the Federal Government to be involved in this, because when they do we create a $1.2 trillion debt.",1,21
710,710,378,BUSH,"In Florida, we have the lowest in-state tuition of any state, because there's accountability, just as John said. Let the states do this. You'll create a much better graduation rate at a lower cost, and you won't in debt the next generation with recourse debt on their backs.",3,48
711,711,378,BUSH,"It's always a solution of the left to create more Government from the Federal Government. It is broke, it is not working.",2,22
712,712,378,BUSH,(CROSSTALK),2,1
714,714,380,BUSH,"Well, first of all, I'm 7 and 0 in my fantasy league.",1,12
716,716,382,BUSH,"Gronkowski is still going strong. I have Ryan Tannehill, Marco, as my quarterback, he was 18 for 19 last week. So I'm doing great. But we're not gambling.",1,28
717,717,382,BUSH,"And I think this has become something that needs to be looked at in terms of regulation. Effectively it is day trading without any regulation at all. And when you have insider information, which apparently has been the case, where people use that information and use big data to try to take advantage of it, there has to be some regulation.",1,61
718,718,382,BUSH,"If they can't regulate themselves, then the NFL needs to look at just, you know, moving away from them a little bit. And there should be some regulation. I have no clue whether the federal government is the proper place, my instinct is to say, hell no, just about everything about the federal government.",1,54
719,719,382,BUSH,(CROSSTALK),2,1
720,720,383,CHRISTIE,"Carl, are we really talking about getting government involved in fantasy football?",2,12
721,721,383,CHRISTIE,(LAUGHTER),5,1
722,722,383,CHRISTIE,"We have -- wait a second, we have $19 trillion in debt. We have people out of work. We have ISIS and al Qaeda attacking us. And we're talking about fantasy football? Can we stop?",1,35
723,723,383,CHRISTIE,(APPLAUSE),5,1
724,724,384,CHRISTIE,"How about this? How about we get the government to do what they're supposed to be doing, secure our borders, protect our people, and support American values and American families. Enough on fantasy football. Let people play, who cares?",3,39
725,725,384,CHRISTIE,(CROSSTALK),2,1
730,730,387,CHRISTIE,"Well, first off, what we don't do is do what Hillary Clinton and John Kerry and Barack Obama want us to do, which is their solution for everything, put more taxes on it, give more money to Washington, D.C., and then they will fix it.",0,45
731,731,387,CHRISTIE,"Well, there is no evidence that they can fix anything in Washington, D.C.",1,13
733,733,389,CHRISTIE,"What we should do is to be investing in all types of energy, John, all types of energy. I've laid out...",3,21
735,735,391,CHRISTIE,"No, John. John, do you want me to answer or do you want to answer?",2,15
736,736,391,CHRISTIE,(LAUGHTER),5,1
737,737,391,CHRISTIE,How are we going to do this?,2,7
738,738,391,CHRISTIE,(APPLAUSE),5,1
739,739,391,CHRISTIE,"Because, I've got to tell you the truth, even in New Jersey what you're doing is called rude. So...",3,19
740,740,391,CHRISTIE,(LAUGHTER),5,1
741,741,391,CHRISTIE,"We've laid out a national energy plan that says that we should invest in all types of energy. I will tell you, you could win a bet at a bar tonight, since we're talking about fantasy football, if you ask who the top three states in America are that produce solar energy California and Arizona are easy, but number three is New Jersey.",3,63
742,742,391,CHRISTIE,Why? Because we work with the private sector to make solar energy affordable and available to businesses and individuals in our state.,3,22
743,743,391,CHRISTIE,"We need to make sure that we do everything across all kinds of energy natural gas, oil, absolutely. But also where it's affordable, solar, wind in Iowa has become very affordable and it makes sense.",3,35
744,744,391,CHRISTIE,"That is the way we deal with global warming, climate change, or any of those problems, not through government intervention, not through government taxes, and for God's sake, don't send Washington another dime until they stop wasting the money they're already sending there.",0,43
749,749,395,PAUL,"The question always is, what works better, the private marketplace or government? And what distributes goods better? It always seems to be the private marketplace does a better job.",3,29
750,750,395,PAUL,Is there an area for a safety net? Can you have Medicare or Social Security? Yes. But you ought to acknowledge the government doesn't do a very good job at it.,1,31
751,751,395,PAUL,"The main problem with Medicare right now is that the average person pays in taxes over their whole lifetime about $100,000. But the average person takes out about $350,000. We have this enormous mismatch because we have smaller and smaller families.",3,41
752,752,395,PAUL,"When people ask me, whose fault is it? Whose fault is it that Medicare is broken, out of money, that Social Security is broken, out of money? And I say, look, it's not Republicans' fault, it's not Democrats' fault, it's your grandparents' fault for having too many damn kids.",1,49
753,753,395,PAUL,(LAUGHTER),5,1
754,754,395,PAUL,"After the war we had all of these kids, Baby Boomers. Now we're having smaller families. We used to have 16 workers for one retiree, now you have three workers for one retiree.",1,33
755,755,395,PAUL,"It's not working. I have a bill to fix Medicare. I've a bill to fix Social Security. For both of them you have to gradually raise the age. If you're not willing to do that, nobody wants to do it, but if you're not willing to gradually raise the age, you're not serious about fixing either one of them.",1,59
764,764,400,HUCKABEE,"Well, and specifically to Medicare, Becky, because 85 percent of the cost of Medicare is chronic disease. The fact is if we don't address what's costing so much, we can't throw enough money at this. And it's why I've continued to focus on the fact that we need to declare war on the four big cost drivers because 80 percent of all medical costs in this country are chronic disease. We don't have a health care crisis in America, we have a health crisis.",1,84
765,765,400,HUCKABEE,"And until we deal with the health of Americans and do what we did with polio -- when I was a little kid, we eradicated it. You know how much money we spent on polio last year in America? We didn't spend any. We've saved billions of dollars.",3,48
766,766,400,HUCKABEE,"You want to fix Medicare? Focus on the diseases that are costing us the trillions of dollars. Alzheimers, diabetes, heart disease and cancer. Eradicate those and you fix Medicare and you've fixed America, its economy and you've made people's lives a heck of a lot better.",3,46
767,767,401,BUSH,Becky --,2,2
770,770,403,BUSH,-- the governor's absolutely right. But we also need to reform Medicare and Social Security. We can't just allow it to continue on its current path the way that Hillary Clinton wants to do because there'll be major reductions in benefits in the next decade if we do nothing.,1,49
771,771,403,BUSH,"I have a concrete plan to do just that, which allows people to keep HSAs to encourage savings, it allows for people that are retiring with Social Security to be able to get a minimum of 125 percent of the poverty level so that there is a baseline that in this generous country of ours no one goes below.",1,59
773,773,405,TRUMP,"Yes, it's very simple. We're going to make a really dynamic economy from what we have right now, which is not at all dynamic. We're going to bring jobs back from Japan, we're going to bring jobs back from China, we're going to bring, frankly, jobs back from Mexico where, as you probably saw, Nabisco is leaving Chicago with one of their biggest plants, and they're moving it to Mexico.",0,70
774,774,405,TRUMP,"We're going to bring jobs and manufacturing back. We're going to cut costs. We're going to save Social Security, and we're going to save Medicare.",1,25
776,776,407,BUSH,"You have to reform Social Security, and the simple way to do it is to make sure that the wealthiest don't receive the same benefits as people that are lower-income.",1,30
777,777,407,BUSH,"And make sure you enhance savings in the private market. The idea of 401(k)s. I have a small business that I set up. It took -- it took an arm and a leg to be able to set up a 401(k). Because of all the federal mandates and federal laws, it was too expensive.",1,54
778,778,407,BUSH,We need to incent private savings and make sure that Social Security is protected for those that have it.,1,19
779,779,408,KASICH,John.,2,1
780,780,409,BUSH,"But the idea that you can't -- that you're just gonna grow your way out of this -- I have a plan to grow the economy at 4 percent, but you're gonna have to make adjustments for both Medicare and Social Security.",1,42
782,782,411,KASICH,"I wanna tell you, in my state, we took Medicaid, the hardest program to control, and we took it from a 10 percent growth rate to 2.5 percent without taking one person off the rolls or cutting one single benefit.",1,40
783,783,411,KASICH,"And so much of what we did -- to force competition, to use technology, to stand down the special interest groups -- can you imagine taking Medicaid from 10 to 2.5 percent?",1,32
784,784,411,KASICH,"We can take many of those same procedures, we can apply it to Medicare. We can make a stronger program. But I agree with Jeb, you can't just do this by growing the economy. You can't grow your way out of demographics.",1,42
785,785,411,KASICH,"But we can give people better health care. And finally, on health care, why don't we start treating -- keep giving...",2,21
787,787,413,KASICH,"...incentives for people to keep people healthy, rather than giving the incentives to treat them when they're sick?",1,18
790,790,415,PAUL,Say again?,2,2
792,792,417,PAUL,"You can't do nothing. And that's what I hear from some people, ""we'll do nothing and it will just be fixed."" That's absurd, and I think people who don't want to fix it, really, or unwilling to take the chance to say, ""something has to change,"" are missing the boat here.",1,51
793,793,417,PAUL,"The age will have to gradually rise, there is no question. It's the only way you fix Medicare, the only way you fix Social Security. You will also have to means-test the benefits and declare there's not enough money.",1,39
794,794,417,PAUL,"It isn't ""I put money in, I'm getting it back."" There is no money, it's a stack of paper. There is no money in the Social Security account. There is no money in the Medicare account. There's only a promise to pay by the next generation, and the next generation's not big enough to pay it.",3,56
795,795,417,PAUL,(CROSSTALK),2,1
798,798,420,CARSON,About Medicare?,2,2
801,801,422,CARSON,"Well, first of all the -- the plan gives people the option of -- of opting out. But I think they will see a very good option here. You know, the annual Medicare budget is over $600 billion. And there are 48 million people involved -- 40 million, 65 and over, and 8 million other.",1,55
802,802,422,CARSON,"Divide that out. That comes out to $12,500 for each one. Now, I can tell you there are a lot of private-sector things that you could do with $12,500, which will get you a lot more than you get from this government program.",1,43
803,803,422,CARSON,"And that's really a theme of a lot of the things that I'm talking about. How do we utilize our intellect rather than allowing the government to use its, quote, ""intellect,"" in order to help us to be able to live healthier and better lives?",2,45
804,804,422,CARSON,"It was never intended that the government should be in every aspect of our lives. This is a country that is of, for and by the people.",1,27
807,807,424,CHRISTIE,"And -- and -- and I -- you know, Ben is absolutely right in saying that what we don't need to do is to send more money to Washington, D.C. to fix this problem.",3,34
808,808,424,CHRISTIE,"And that's what you'll hear from Hillary Clinton -- and I've already heard from her -- is that, send more money in Social Security, send more money in Medicare taxes, send more money for Medicaid, and that's gonna solve the problem.",1,41
809,809,424,CHRISTIE,"What we know is we're living longer. That's a blessing. It's a blessing that we're living longer, so we have to increase the retirement age to reflect that blessing.",1,29
810,810,424,CHRISTIE,"We need to make sure that people understand, as Jeb said before, that if you've done extraordinarily well in this country, do you want them to take more out of your taxes now and think they're gonna give it back to you later? Or would you rather take less later on?",1,51
815,815,429,RUBIO,"No. No. What I said was that I think that Dr. Carson's ideas are good ideas. They're not my ideas, and I don't necessarily agree with all of them.",1,29
816,816,429,RUBIO,But this is what you're seeing in the Republican debate that you didn't see in that Democrat debate.,1,18
817,817,429,RUBIO,"You didn't see it for a minute. You didn't see these kind of ideas being batted around, and being batted around in a way that's civil and smart and that's trying to help to inform the voter out there.",1,39
818,818,429,RUBIO,"What you saw was a parade of, ""I'll give you this for free; I'll give you that for free.""",3,19
819,819,429,RUBIO,"Let me tell you, everybody, when they say they want to give it to you for free, keep your hands on your wallets because they're coming to you to pay for it. And that's why I think these ideas up here are great, and that's what we should have is have more discussions like this and less gotcha.",1,58
820,820,429,RUBIO,(CROSSTALK),2,1
822,822,431,RUBIO,"I want to take off from that point and argue the same thing. And that is that one of the things you're watching tonight are 11 quality candidates debating an important issue. The Republican Party is blessed to have 11 good candidates, (inaudible) 10 good candidates. The Democrats can't even come up with one.",1,54
823,823,431,RUBIO,"And on this issue of the Medicare in particular, it's important because they're going to demagogue what we're saying here tonight. Everyone up here tonight that's talking about reforms, I think and I know for myself I speak to this, we're all talking about reforms for future generations. Nothing has to change for current beneficiaries. My mother is on Medicare and Social Security. I'm against anything that's bad for my mother.",1,71
824,824,431,RUBIO,(LAUGHTER),5,1
825,825,431,RUBIO,"So, we're talking about -- we're talking about reform for people like me and people like Senator Cruz, as he talked about earlier, who are years away from retirement that have a way to plan for these changes, and way that's very reasonable. And it's not too much to ask of our generation after everything our parents and our grandparents did for us.",1,63
826,826,432,FIORINA,"John, I -- if I -- a lot of people have jumped in here. I'd like to jump in. A lot of people have jumped in here.",3,27
828,828,434,FIORINA,I understand.,2,2
831,831,436,FIORINA,I would just say that...,2,5
832,832,436,FIORINA,(LAUGHTER),5,1
833,833,436,FIORINA,"... I would just say this, we've heard a lot of great ideas up here, and I agree with what Senator Rubio said. Every election we talk about this. Every election we talk about Medicare and Social Security reform. It never happens.",3,42
834,834,436,FIORINA,I would like to start with a basic. Let us actually go to zero- based budgeting so we know where the money is being spent. It's kind of basic. There is a bill sitting in the House that would actually pass and have us go to zero-based budgeting so we know where every dime of your money is being spent instead of only talking about how much more we're going to spend year after year after year.,1,77
835,835,436,FIORINA,"My point is this. While there are lots of good ideas for reform, we have never tackled the basics. And we finally need to tackle the basics to cut this government down to size and hold it accountable. So let's start by knowing where your money is being spent by the federal government.",1,53
837,837,438,PAUL,"Liberty thrives when government is small. I want a government so small I can barely see it. I want a government so small that the individual has a chance to thrive and prosper. I think, though, government is too big now. And what you're going to see in Washington this week is establishment Republicans have made an agreement with the president to raise the debt ceiling in an unlimited fashion; no limit to the debt ceiling raise.",0,77
838,838,438,PAUL,"This is extraordinary. It's extraordinarily wrong. You'll see me on the floor of the Senate tomorrow filibustering this and saying enough is enough, no more debt.",1,26
840,840,440,CHRISTIE,"I want to talk to the folks at home. I want to ask you: Are you fed up with how Washington taxes you? Are you fed up with how Washington wastes your money? Are you concerned like I am that the debt and deficits of Washington, D.C. are endangering America's future?",1,51
841,841,440,CHRISTIE,"I've got one more question for you then. Are you serious about this election? Because if you are, you need to elect someone who's deadly serious about changing this culture. I am deadly serious about changing this culture. I changed it in New Jersey. I'm deadly serious about doing this job the right way.",2,54
842,842,440,CHRISTIE,"I'm prepared. I'm tested. I'm ready. And I want to make this our government. For the people who say we can't do it, I say hell no, we can do it together.",1,32
845,845,442,CRUZ,"You know, everyone here talks about the need to take on Washington. The natural next question is who actually has done so. Who actually has stood up not just to Democrats, but to leaders in our own party? When millions of Americans rose up against Obamacare, I was proud to lead that fight. When millions of Americans rose up against amnesty, I was proud to lead that fight. When millions of Americans rose up against Planned Parenthood, I was proud to lead that fight.",3,84
846,846,442,CRUZ,"If people are promising they're going to take on Washington and cronyism, you need to look to who has been doing it. In my family, my dad fled oppression in Cuba to come to America. Freedom is personal for me, and I will always keep my word and fight for freedom.",1,51
849,849,444,FIORINA,"You know, every election we hear a lot of talk. We hear a lot of good plans. We hear actually a lot of good intentions. But somehow for decades, nothing really has changed. What we need now is a proven leader who has produced results. That's how you go from secretary to CEO. You lead and you produce results. I will cut this government down to size and hold it accountable, simplify the tax code, roll back the regulations that have been spewing out of Washington, D.C. for 50 years.",1,90
850,850,444,FIORINA,"I may not be your dream candidate just yet, but I can assure you I am Hillary Clinton's worst nightmare. And in your heart of hearts, you cannot wait to see a debate between Hillary Clinton and Carly Fiorina. I will tell you this, I will beat Hillary Clinton. And with your vote and your support and your prayers, I will lead with the citizens of this great nation the resurgence of this great nation.",3,75
853,853,446,CARSON,"I just want to thank all my colleagues here for being civil, and not falling for the traps. And, I also just want to thank the audience for being attentive, and noticing the questions, and the noticing the answers. And, this is what I am finding throughout America.",1,48
854,854,446,CARSON,"People are waking up because it is going to be us who will determine the direction of our country. And, it was made for we the people, we are the ones who decide who we are, and we should never give away the values and principles that made America into a great nation for the sake of political correctness.",1,59
855,855,446,CARSON,(APPLAUSE),5,1
857,857,448,TRUMP,"Our country doesn't win anymore. We used to win, we don't win anymore. We lose on trade. We lose with ISIS. We lose with one of the worst deals I've ever seen negotiated of any kind, that's our recent catastrophe with Iran. We don't win.",1,45
858,858,448,TRUMP,"Let me give you one quick example. These folks, CNBC, they had it down at three, three and a half hours. I just read today in the New York Times, $250,000 for a 30 second ad. I went out and said, it's ridiculous. Nobody -- I could stand up here all night. Nobody wants to watch three and a half, or three hours. It was a back sacrifice, and I have to hand it to Ben.",1,76
859,859,448,TRUMP,"We called Ben, he was with me 100%. We called in, we said, that's it. We're not doing it. They lost a lot of money, everybody said it couldn't be done. Everybody said it was going to be three hours, three and a half, including them, and in about two minutes I renegotiated it so we can get the hell out of here. Not bad.",1,65
860,860,448,TRUMP,(APPLAUSE),5,1
861,861,449,TRUMP,"And, I'll do that with the country. We will make America great again. And, thank you everybody. Just for the record.",3,21
863,863,451,TRUMP,That's not right. That is absolutely not right. You know that. That is not right.,1,15
866,866,454,RUBIO,"You know, America doesn't owe me anything. I have a debt to America I'll never repay. This isn't just the country I was born in, this is the nation that literally changed the history of my family. My parents in this country were able to give me the chance to do all the things they never did. We call that the American Dream, although, it's built on the universal dream of a better life.",1,74
867,867,454,RUBIO,"The fact that it's happened for so many people here throughout our history, that's what makes us special. But, now for millions of Americans, it's slipping away. And, we have a government and leaders in government that are completely out of touch, and that's why I'm running for president. Because we can't just save the American Dream, we can expand it to reach more people, and change more lives than ever before.",1,72
868,868,454,RUBIO,"And, that's why tonight I'm asking you for your vote.",1,10
870,870,456,BUSH,"America's at a crossroads. The D.C. politicians continue to make things worse. I have a proven record of success, 32 years in business, and 8 years as Governor of the state of Florida.",3,33
871,871,456,BUSH,"I will change the culture in Washington, just as I changed the culture in Tallahassee. I will do so in a way that will bring people together. We need a unifier, not a cynical divider in chief, and that's exactly what I will do.",1,44
872,872,456,BUSH,Imagine a country where people are lifted out of poverty again. Imagine a country where the middle class can get rising income again. I know we can do this because we're still the most extraordinary country on the face of the Earth.,4,42
874,874,458,HUCKABEE,"You know, I know to a lot of people in the media, this is just a great big game, and we're the players. And, we come out here, and we do our thing. And, sometimes we're held up in contempt by people who write columns, but, I guarantee you to every person on this stage there's something deep inside of us that would cause us to give up our livelihoods and step out on this stage and fight for the people of America.",1,83
875,875,458,HUCKABEE,"I've got five grandkids. I do not want to walk my five grandkids through the charred remains of a once great country called America, and say, ""Here you go, $20 trillion dollars of debt. Good luck making something out of this mess.""",1,42
876,876,458,HUCKABEE,"And, for those of us who are serious enough to run for president, think long and hard why we're here, and hopefully you'll know we're not here for ourselves. We honest to god are here to get this country back on track. I know this, I certainly am.",1,48
878,878,460,HUCKABEE,...Thank you.,3,2
880,880,462,KASICH,"I was on morning Joe at a town hall and a young student stood up and said, ""Can I still be idealistic?""",2,22
881,881,462,KASICH,"I said, absolutely, you can still change the world. And, you know the old inscription, if you save one life, you've changed the world. Folks, we have a problem here with the leadership in Washington, but I'll tell you another problem. We need to rebuild our families. We need to have stronger families. We need to know who our neighbors are. We need to come together as a country because we have to realize that America is great, not from the top-down. Oh yeah, we want to elect a good president, but America is great from the bottom-up, and the bottom-up is us in our families, in our communities, in our neighborhoods. We will renew America if we work together, and I am totally confident that we will. And God bless America.",4,132
882,882,462,KASICH,(APPLAUSE),5,1
